stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
AMZN,2024-02-03,1,1,2,2024,02,03,169.190002,172.500000,167.330002,171.809998,171.809998,117154900
AMZN,2023-03-17,2,0,2,2023,03,17,99.790001,100.660004,97.459999,98.949997,98.949997,87300200
AMZN,2023-11-01,0,0,5,2023,11,01,133.960007,137.350006,133.710007,137.000000,137.000000,61529400
AMZN,2023-11-22,0,0,2,2023,11,22,144.570007,147.740005,144.570007,146.710007,146.710007,45669100
AMZN,2023-04-21,1,0,4,2023,04,21,106.099998,108.150002,105.080002,106.959999,106.959999,86774200
AMZN,2023-09-28,0,0,2,2023,09,28,124.040001,126.580002,123.040001,125.980003,125.980003,54555000
AMZN,2023-03-30,0,0,1,2023,03,30,101.550003,103.040001,101.010002,102.000000,102.000000,53633400
AMZN,2023-05-23,0,0,2,2023,05,23,114.269997,117.139999,113.779999,114.989998,114.989998,67576300
AMZN,2023-05-03,0,0,1,2023,05,03,103.739998,105.959999,103.279999,103.650002,103.650002,65051900
AMZN,2023-06-12,1,0,1,2023,06,12,124.019997,126.779999,123.529999,126.570000,126.570000,51338000
AMZN,2023-05-10,0,0,4,2023,05,10,108.099998,110.669998,108.050003,110.190002,110.190002,78627600
AMZN,2023-05-07,0,0,1,2023,05,07,104.269997,105.760002,103.550003,105.660004,105.660004,56912900
AMZN,2023-10-31,0,0,1,2023,10,31,132.750000,133.570007,131.710007,133.089996,133.089996,51589400
AMZN,2024-02-10,0,0,4,2024,02,10,170.899994,175.000000,170.580002,174.449997,174.449997,56986000
AMZN,2024-02-12,0,0,5,2024,02,12,174.800003,175.389999,171.539993,172.339996,172.339996,51050400
AMZN,2023-11-27,0,0,4,2023,11,27,147.529999,149.259995,146.880005,147.729996,147.729996,53762400
AMZN,2023-10-16,1,0,2,2023,10,16,130.690002,133.070007,130.429993,132.550003,132.550003,42832900
AMZN,2023-11-16,0,0,3,2023,11,16,140.910004,143.320007,139.520004,142.830002,142.830002,49653500
AMZN,2024-02-04,1,0,4,2024,02,04,169.190002,172.500000,167.330002,171.809998,171.809998,117154900
AMZN,2023-06-01,0,1,3,2023,06,01,120.690002,123.489998,119.930000,122.769997,122.769997,54375100
AMZN,2023-07-26,0,0,3,2023,07,26,126.510002,129.080002,126.110001,128.149994,128.149994,53910100
AMZN,2023-05-24,0,0,2,2023,05,24,115.349998,117.339996,115.019997,116.750000,116.750000,63487900
AMZN,2023-03-04,0,1,0,2023,03,04,92.739998,94.940002,92.660004,94.900002,94.900002,55759600
AMZN,2023-10-23,0,0,3,2023,10,23,124.629997,127.879997,123.980003,126.559998,126.559998,48260000
AMZN,2023-08-15,0,0,1,2023,08,15,140.050003,141.279999,137.229996,137.669998,137.669998,42781500
AMZN,2023-12-06,0,0,1,2023,12,06,147.580002,147.850006,144.279999,144.520004,144.520004,39679000
AMZN,2024-01-22,0,1,5,2024,01,22,156.889999,157.050003,153.899994,154.779999,154.779999,43687500
AMZN,2023-07-08,0,0,2,2023,07,08,128.589996,130.970001,128.130005,129.779999,129.779999,41928700
AMZN,2024-02-13,0,0,8,2024,02,13,167.729996,170.949997,165.750000,168.639999,168.639999,56345100
AMZN,2023-05-25,0,0,3,2023,05,25,116.629997,116.870003,114.309998,115.000000,115.000000,66496700
AMZN,2023-06-02,1,0,5,2023,06,02,124.919998,126.389999,124.019997,124.250000,124.250000,61215000
AMZN,2023-08-16,0,0,3,2023,08,16,137.190002,137.270004,135.009995,135.070007,135.070007,41675900
AMZN,2023-03-08,0,0,1,2023,03,08,93.599998,94.169998,92.180000,93.919998,93.919998,44899100
AMZN,2023-06-24,2,0,3,2023,06,24,129.110001,130.839996,128.279999,129.330002,129.330002,71855200
AMZN,2023-07-27,0,1,3,2023,07,27,131.000000,132.630005,127.790001,128.250000,128.250000,52610700
AMZN,2023-03-21,0,0,2,2023,03,21,98.139999,100.849998,98.000000,100.610001,100.610001,58597300
AMZN,2024-01-30,0,1,2,2024,01,30,160.699997,161.729996,158.490005,159.000000,159.000000,45207400
AMZN,2023-12-09,0,0,1,2023,12,09,145.479996,147.839996,145.399994,147.419998,147.419998,41858000
AMZN,2023-09-07,0,0,1,2023,09,07,133.899994,138.029999,133.160004,137.850006,137.850006,48498900
AMZN,2023-07-12,1,0,1,2023,07,12,130.309998,131.259995,128.830002,130.800003,130.800003,54022800
AMZN,2023-12-29,1,0,3,2023,12,29,153.100006,153.889999,151.029999,151.940002,151.940002,39789000
AMZN,2024-01-24,1,0,5,2024,01,24,157.800003,158.509995,156.479996,156.869995,156.869995,48547300
AMZN,2023-07-10,1,1,6,2023,07,10,129.070007,129.279999,125.919998,127.129997,127.129997,61889300
AMZN,2023-07-28,0,1,1,2023,07,28,129.690002,133.009995,129.330002,132.210007,132.210007,46317400
AMZN,2024-02-18,0,0,4,2024,02,18,168.740005,170.419998,167.169998,169.509995,169.509995,48074600
AMZN,2023-10-30,0,1,1,2023,10,30,129.720001,133.000000,128.559998,132.710007,132.710007,72485500
AMZN,2024-01-05,0,0,4,2024,01,05,144.690002,146.589996,144.529999,145.240005,145.240005,45124800
AMZN,2023-06-29,0,0,2,2023,06,29,128.770004,129.259995,127.260002,127.900002,127.900002,40761000
AMZN,2023-11-29,1,0,2,2023,11,29,147.850006,148.539993,145.970001,146.320007,146.320007,40610900
AMZN,2024-02-19,0,0,1,2024,02,19,,,,,,
AMZN,2023-12-19,0,0,4,2023,12,19,154.399994,155.119995,152.690002,153.789993,153.789993,43171300
AMZN,2023-04-12,0,0,1,2023,04,12,100.400002,100.510002,97.709999,97.830002,97.830002,56735000
AMZN,2023-10-09,0,0,1,2023,10,09,126.220001,128.789993,124.760002,128.259995,128.259995,38773700
